	weight	ssn	hemoglobin	alp	etytr	alt	erytrocyty	hbver	name	hematokrit	indicator	er-cv	leukocyty	smoker	relationship	ast	trombocyty
0	12.35740	803-27-3974	5.94182	86.80991	7.12559	2.18482	7.53345	7.51373	Kayla Rodriguez	6.98497	1.00000	57.08422	7.21726	Y	married	77.99546	7.98017
1	118.10209	205-46-9278	6.45407	79.22919	5.34025	1.60706	6.53048	7.30977	Diane Holt	8.65706	1.00000	63.49068	9.35320	no	widowed	31.27623	9.27384
2	89.97897	507-12-0831	9.73090	17.97254	9.49744	1.75153	5.96430	8.02289	David Bryant MD	7.46431	1.00000	66.64176	7.36311	no	nop	52.03928	8.18942
3	137.89307	328-79-8098	8.65753	19.63713	8.90814	5.80869	8.47758	7.37768	Joshua Hickman	9.15039	1.00000	62.03448	6.50476	no	single	63.20161	6.22091
4	95.55653	307-37-5739	5.96644	82.63100	6.84092	3.16471	7.38053	8.07490	Frank Glover	9.55976	1.00000	79.48715	9.45322	N	married	28.53852	7.38761
5	127.62721	631-77-5521	8.68183	17.26893	5.45761	1.69071	5.35480	7.55518	Margaret Reeves	9.20021	0.00000	64.46829	8.99270	no	widowed	54.79827	7.24003
6	81.95262	093-28-6160	5.26838	63.37159	5.58634	10.92191	9.03065	8.41240	Angela Sellers	8.92897	1.00000	50.26864	8.26547	yes	married	44.70443	7.14029
7	45.50756	624-83-1446	5.73669	78.80490	5.24254	3.46323	7.42141	7.12097	Christopher Dunn	10.04680	1.00000	46.97190	10.70651	no	widowed	45.15306	7.40147
8	22.72142	799-58-8234	8.65154	28.53657	6.39921	2.41259	7.12376	9.05228	Melissa Kelly	8.73608	0.00000	42.72727	8.75846	no	single	22.92886	7.90562
9	68.17869	641-85-3523	8.07952	45.36686	7.28634	3.00701	7.08771	6.64535	Mary Miller	9.09721	1.00000	45.22097	5.19700	no	divoced	44.33458	7.55304
10	71.13961	847-78-7330	8.21433	40.13506	8.70283	3.52789	7.45264	9.13976	Thomas Spencer	8.78397	1.00000	49.24977	5.80748	no	nop	45.46106	7.66829
11	75.95430	675-81-8692	9.98907	20.68234	7.40239	4.18090	7.77043	7.66838	Patricia Lewis	7.61742	0.00000	49.50631	8.98931	Y	divoced	43.29517	6.46793
12	84.41133	054-74-9387	8.52391	27.04982	8.68984	3.46261	7.37774	7.88745	James Edwards	7.83511	1.00000	51.20870	7.13471	yes	nop	49.79880	6.66963
13	56.72466	023-47-0426	7.27758	71.37066	10.29299	1.13866	6.88049	8.70746	Stephen Martin	9.21014	1.00000	47.60764	7.20852	no	single	50.25773	8.28836
14	65.68785	052-51-6187	6.63216	84.22688	5.17799	7.02101	8.65445	9.23739	Jon Jacobs	9.39320	1.00000	70.59361	12.45208	yes	divoced	51.15868	7.01717
15	73.10392	087-35-3559	5.25272	76.56281	4.20702	7.70674	8.78829	8.68171	Ryan White	6.04199	0.00000	45.45302	8.44710	yes	divoced	46.75776	8.01337
16	73.94299	309-48-1427	7.65079	54.89251	9.46477	6.30343	8.54147	5.94400	Joseph Chambers	8.76471	0.00000	41.89751	8.97579	no	separated	49.46200	7.55246
17	91.91635	120-50-1167	11.16759	54.91908	9.10953	3.58805	7.40471	6.91280	Jimmy Collins	6.55854	1.00000	38.27937	6.10016	no	nop	45.68116	6.87352
18	40.14811	570-50-9538	6.00164	84.98032	5.82156	6.03223	8.42412	8.41932	Elizabeth Barton	9.82330	1.00000	67.94201	8.72569	yes	divoced	45.55739	7.45957
19	68.23182	547-48-5161	6.26754	82.02830	6.51362	1.17053	6.79156	7.16298	Alicia Ho	7.43412	0.00000	44.77314	8.83585	no	single	40.14443	8.12026
20	85.81513	301-05-1128	8.04037	42.53186	5.21949	5.59502	8.32681	7.11002	Allen Freeman	7.70792	1.00000	52.24827	9.17192	N	married	45.73479	8.60606
21	97.83715	703-23-5848	4.98801	57.45491	6.02491	4.69909	8.14218	7.30487	Terri House	11.21049	1.00000	45.44832	10.37208	no	divoced	53.21589	8.05435
22	61.76228	064-36-8145	1.87772	37.08009	0.96782	6.01742	8.35713	8.09416	Jacqueline Carson	5.15280	0.00000	32.00350	8.50343	no	divoced	49.15201	7.15096
23	72.31804	606-91-2498	8.32484	34.98924	6.42984	2.58682	6.55354	8.81564	Matthew Cook	10.09621	0.00000	49.26081	9.33277	N	nop	68.75729	7.53418
24	49.33615	635-49-7572	12.01316	88.01475	8.97275	2.67027	7.15506	6.69421	Bruce Johnson	10.25565	1.00000	46.95428	5.59997	no	nop	70.57758	5.40424
25	129.58355	321-45-3469	8.24463	33.65417	7.44578	10.03247		6.83021	Diane Jordan	10.39389	1.00000	55.59118	5.33371	yes	separated	66.18120	8.13203
26	35.54930	739-98-7930	8.64442	12.84486	8.97307	14.55438	9.45168	7.73295	Susan Snyder	8.77277	1.00000	53.57823	7.51112	no	divoced	32.61526	5.84636
27	108.54999	026-06-2885	9.64888	12.14136	6.44842	2.87221	7.77386	9.18464	Richard Friedman	7.39986	0.00000	55.37805	8.47092	no	nop	33.16360	7.79511
28	75.17493	355-50-7918	10.02012	16.01892	10.42455	5.61193	8.22639	7.22020	Denise Gutierrez	8.64309	1.00000	63.03980	8.31489	Y	single	54.75933	8.39519
29	46.19339	601-81-4088	6.70607	72.24956	5.80962	5.36946	8.41171	8.97139	Matthew Jackson	4.67375	0.00000	54.53550	8.74379	no	divoced	46.72829	7.79536
30	132.77649	465-27-2047	7.22126	69.76307	9.29745	2.15457	7.28504	5.42521	Rachel Kent	6.94811	0.00000	48.28741	9.54930	no	divoced	33.73769	6.07178
31	40.84378	115-42-7007	8.65829	18.98573	5.43305	2.47758	7.16037	5.74934	Keith Burch	8.54816	0.00000	58.19102	8.39802	Y	separated	44.46808	8.07884
32	82.53562	315-70-4955	7.15598	74.60343	5.45249	2.73140	7.63810	7.55584	Kyle Morris	7.06881	1.00000	63.49030	6.75697	no	divoced	47.54984	6.95722
33	115.98048	056-69-1089	6.27345	86.72715	7.48796	4.35719	7.78421	5.92959	Lori Martinez	7.64254	1.00000	47.79504	7.48720	no	nop	54.09922	7.52540
34	121.44504	792-11-5499	6.53483	85.90490	7.64806	2.03436	6.78315	5.01405	Katherine Rivera	7.99762	1.00000	60.79909	7.79155	yes	separated	57.19636	8.92174
35	47.94307	200-20-4602	6.73763	84.01310	9.19782	5.44580	8.26025	8.49539	Amanda Chang	10.20080	1.00000	40.43530	7.32946	yes	single	80.53070	7.95992
36	25.93543	494-18-3790	9.01480	16.47759	3.66709	3.37184	7.36491	6.20297	Jorge Webb	8.74239	1.00000	67.56285	8.93505	Y	married	50.38544	8.29687
37	71.81744	503-06-0265	6.35057	87.72460	7.84433	2.12078	6.89167	5.93733	Joy Foster	7.71783	1.00000	54.11179	6.01275	N	divoced	60.87121	6.22203
38	127.59436	852-23-3290	5.41744		4.81363	2.86523	6.64363	7.81909	Jesse Frazier	5.32148	0.00000	48.54502	8.63113	Y	married	54.38262	8.53305
39	131.13245	348-22-4313	8.80805	23.13871	5.62786	2.51986	7.46370	8.73779	Joanna Ortiz	8.99448	0.00000	43.03237	8.92183	no	single	74.26793	6.08998
40	45.79477	465-30-4187	6.97667	78.39965	6.12258	1.47914	6.57604	7.02097	Steven Russell	6.38066	1.00000	39.79843	5.02458	no	single	68.05394	7.94301
41	74.39321	740-95-1597	7.85591	48.12520	5.99948	1.07326	6.62268	7.29406	Jamie Delacruz	7.85560	1.00000	62.17518	9.02372	no	divoced	44.10959	7.81239
42	89.51443	069-36-0333	9.75859	18.18485	9.06561	2.29050	6.79473	6.81274	Micheal Summers	8.98909	0.00000	48.17005	8.58650	no	widowed	40.75823	8.39888
