	race	residence	job	birthdate	company	blood_group	sex	ssn	name
0	White	"108 Pham Loaf
New Shelby, IN 31526"	Magazine features editor	2007/09/11	Reynolds, Stewart and Tanner	O+	F	087-49-2961	Laura Valentine
1	Asian	"2246 Tammy Cliffs Apt. 057
North Kim, MI 55878"	Investment banker, operational	1971/05/20	Mcdonald-White	A-	F	704-69-2733	Angela Sullivan
2	White	"12245 Maxwell Island
North Benjamin, KY 38697"	Charity fundraiser	09 Oct 1945	Waters, Davis and Mcintyre	AB+	F	787-12-1516	Haley Ramirez
3	White	"17000 Saunders Circles Apt. 457
Donaldhaven, OK 33776"	Engineer, production	04/25/2006, 00:00:00	Watson and Sons	A+	F	127-86-0135	Mary Harris
4	Hawaiian	"43712 Andrea Expressway
North Mckenzie, AZ 31049"	IT consultant	1936-03-01	Alvarez PLC	B+	M	875-46-1555	Jeremy James
5	Black	"18241 Mikayla Cliffs Apt. 703
New Jennifer, AK 13614"	Copywriter, advertising	04/01/1998, 00:00:00	Smith-Wilson	B-	M	186-01-4112	Jose Meyers
6	Asian	"252 Chapman Vista Suite 662
Davidmouth, VA 14562"	Warden/ranger	07/14/2015, 00:00:00	Hatfield Ltd	B+	F	022-60-8156	Tina Simon
7	White	"700 Zuniga Hills
New Sierra, OR 67940"	Learning disability nurse	09/26/1964, 00:00:00	Freeman and Sons	A-	M	899-71-9849	Jacob Yoder
8	White	"917 Hodge Canyon
Jillmouth, SC 23355"	Prison officer	1979/05/13	Stanton-King	O+	M	349-07-5828	Keith Young
9	Asian	"8134 Antonio Summit Suite 172
East Kaitlyn, AZ 85025"	Water engineer	1994/07/13	Nguyen, Walters and Booth	AB+	M	317-35-9401	Joseph Hartman
10	black	"226 James Curve
West Amandaberg, VT 14878"	Physicist, medical	1940/08/12	Thompson and Sons	O+	F	561-61-7955	Michelle Patterson
11	White	"543 Daniels Bridge Suite 510
Ortizland, MS 27459"	Drilling engineer	09/03/1979, 00:00:00	Martin LLC	O+	F	502-62-7963	Traci Gilmore
12	White	"79349 Brenda Lake
North Michelle, OK 13951"	Product/process development scientist	1963-07-31	Davis, Collier and Powell	AB-	F	480-46-5004	Denise Diaz
13	White	"78837 Jeffrey Plaza
Mckenziestad, NH 22216"	Statistician	1979/10/31	Mccoy, Gilmore and Murray	AB+	M	692-26-4054	David White
14	White	"1650 Tammy Summit
West Andrealand, ME 71157"	Accounting technician	1921/03/24	Oneill, Sexton and Martinez	B+	F	898-02-2090	Joanne Brown
15	white	"63910 Carol Row Suite 404
East Justin, MO 08403"	Veterinary surgeon	09 Sep 1945	Martin Ltd	AB-	F	391-61-4633	Lauren Maldonado
16	White	"550 Hayes Wall
New Gregory, IL 19907"	Scientist, marine	1965/05/09	Riley Inc	O-	M	667-70-7971	Brian Owens
17	White	"821 Gene Loaf
Dorseybury, OH 96272"	Ranger/warden	1987-07-07	Armstrong, Watson and Robinson	AB+	F	499-89-8769	Sara Cline DDS
18	White	"970 Smith Forges Apt. 397
South Carriebury, MI 23199"	Journalist, magazine	18 Mar 1914	Keller, Gregory and Valentine	A+	F	616-18-5186	Michele Ellis
19	Asian	"PSC 6108, Box 8591
APO AE 53004"	Risk manager	02/07/1917, 00:00:00	Brown, Sparks and Yoder	AB+	F	354-71-2095	Tammy Park
20	Black	"282 Dean Extensions
Randolphburgh, AR 83666"	Physicist, medical	20 Aug 1925	Fisher Inc	B+	M	485-88-0367	Nathan Payne
21	Black	"04413 Brooke Expressway
West Jenniferfort, MN 40798"	Office manager	05 Jul 1958	Guerrero Group	B+	M	627-47-8455	Tanner Henderson
22	Asian	"Unit 2888 Box 0707
DPO AE 51133"	Systems analyst	11/28/1954, 00:00:00	Gardner-Fuller	O+	M	403-56-8138	Brian Griffith
23	White	"3334 Wu Rapids
West Ashley, TX 21352"	Naval architect	27 Aug 1963	Ortiz-Herrera	AB-	M	574-40-0690	Thomas Ortega
24	Asian	"3610 Elizabeth Mount
Ianhaven, OH 56862"	Homeopath	07/24/1981, 00:00:00	Peck-Anderson	AB-	M	078-85-3248	Brendan Jordan
25	White	"9758 Hines Roads Apt. 410
Charlesville, FL 48117"	Therapist, horticultural	1928-02-10	Williams-Wright	A-	F	551-30-1221	Savannah Vasquez
26	White	"9451 Gutierrez Rapid
Kingmouth, ND 63932"	Science writer	06/13/2013, 00:00:00	Nicholson-Hobbs	A+	M	238-14-1928	Brett Baker
27	White	"50192 Stephen Drives
Lake Matthew, HI 52595"	Therapeutic radiographer	1957/11/02	Mayo, Castro and Goodman	A-	F	784-03-4207	Pamela Murray
28	Asian	"000 Brian Glens Suite 318
New Derrick, MT 52843"	Education administrator	06/09/1939, 00:00:00	Mitchell Group	AB-	M	882-29-4538	Thomas Moore
29	White	"PSC 2146, Box 3425
APO AA 18498"	Environmental consultant	1914/05/19	Woodard Inc	B-	F	833-53-9504	Misty Torres
30	White	"73993 Rodgers Skyway
Smithchester, IN 53837"	Computer games developer	03 Jun 2011	West, Smith and Stewart	B-	M	386-59-8022	Terrance Patterson Jr.
31	White	"36096 Welch Stravenue Apt. 982
Lake Sarah, RI 96492"	Teacher, English as a foreign language	12/02/1921, 00:00:00	Ali, Pierce and Morgan	B-	F	849-42-4614	Nancy Hammond
32	Black	"0438 Porter Inlet
Leetown, MT 41031"	Equality and diversity officer	11/28/1954, 00:00:00	Wheeler-Thompson	AB+	F	359-83-3153	Kelly Parker
33	White	"7500 Christopher Common
West Chad, WY 73978"	English as a foreign language teacher	1978/03/04	Nolan LLC	B-	F	639-61-1443	Linda Thomas
34	White	"081 Hoffman Well
East Andrewville, SC 00871"	Arboriculturist	05/17/1914, 00:00:00	Richards, Bowman and Miller	AB-	M	745-64-9583	Benjamin Gardner
35	White	"USCGC Allen
FPO AA 65514"	Architectural technologist	14 Aug 1925	Soto, Walker and Collins	A+	F	565-29-5744	Krista Pope
36	White	"5202 Thompson Spur
Stevestad, OR 36419"	Surveyor, mining	10 Oct 2004	Carter Ltd	B+	M	881-26-7175	Andrew Pitts
37	Black	"2482 Maria Court
West Holly, MI 08638"	Mental health nurse	1970/10/19	Small PLC	A+	F	532-40-6956	Nicole Aguilar
38	black	"494 Tom Village
East James, OR 95471"	Freight forwarder	1975-05-02	Wagner-Ford	AB-	F	157-50-4185	Lisa Novak
39	White	"4042 Nancy Roads
New Amandachester, TX 89565"	Trade union research officer	01/19/1922, 00:00:00	Davila, Stafford and Carr	B-	F	412-49-7773	Stephanie Garcia
40	White	"3884 Brown Well
Garyfurt, AZ 67420"	Pharmacologist	1953-06-21	Hicks Inc	B-	M	860-66-6737	Paul Woods
41	Indian	"5755 Alan Place Apt. 366
Alishafort, KY 58824"	Chief Technology Officer	03/19/1967, 00:00:00	Lawson, Liu and Hawkins	A+	M	629-66-5514	Robert Elliott MD
42	White	"5164 Brown Rapid Suite 237
Port Michael, WV 92861"	Network engineer	13 Sep 1906	Gilbert Ltd	B+	F	668-24-9310	Natalie Zuniga
43	Indian	"7412 Tammy Path Apt. 670
Kevinport, FL 63906"	Occupational psychologist	03/20/2012, 00:00:00	Ballard PLC	O+	F	456-09-7520	Regina Le
44	White	"349 Hernandez Motorway Suite 900
Hicksland, CO 22118"	Planning and development surveyor	04/12/1963, 00:00:00	Gonzalez-Crane	O+	F	180-48-0464	Emily Hoffman
45	White	"7211 Scott Crescent
Phillipsview, WA 74873"	Agricultural consultant	09/05/1993, 00:00:00	Parker-Delgado	AB+	M	463-25-2703	Michael Torres
